"Age","ET","IT1","ST","NT","TT1","FT","JT","PT","AT","TT2","RPT","IPT","APT","SPT","PPT","CPT","PWP1","PRE","PWP2","PET1","PET2","PPET","IQ","RSA","RSB","RSC","RSD","RSE","ABF","BCM","CVW","CAD","EU","EM","EA","H","HEM","IT2","LR","LES","LST","MAPR","MI","PC","PSA","PHR","RS","SP","SC","TE","TL"
"33","91","9","22","78","40","60","39","61","71","29","8","7","4","13","7","4","11","3","2","2","1","5","86","83","67","83","42","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","40","60","51","49","63","37","73","27","65","35","8","13","7","4","6","5","4","11","1","6","1","1","106","100","92","92","58","50","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","26","74","28","72","89","11","69","31","90","10","3","14","3","5","6","6","4","12","1","3","3","1","130","100","100","100","92","100","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","30","70","60","40","69","31","59","41","73","27","8","12","6","3","7","7","5","11","1","5","1","1","108","92","92","50","83","83","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","40","60","61","39","71","29","31","69","41","59","11","9","7","6","4","6","3","3","5","11","0","2","92","100","100","83","33","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","31","69","9","91","87","13","91","9","11","89","10","12","4","5","5","7","1","11","4","2","2","4","130","100","100","100","92","100","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","63","37","22","78","91","9","67","33","29","71","9","4","1","6","9","13","4","3","11","2","2","2","94","83","67","50","75","50","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","70","30","35","65","60","40","30","70","59","61","6","8","3","10","5","11","10","5","0","3","2","4","94","83","67","67","75","33","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0"
"33","65","35","10","90","73","27","89","11","93","7","9","12","2","10","2","8","3","10","0","1","8","2","124","100","92","100","92","83","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0"
"39","80","20","10","90","88","12","90","10","83","17","9","9","3","11","1","9","3","11","1","1","7","1","106","100","83","58","92","58","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0"
"34","36","64","20","80","68","32","83","17","69","31","10","11","1","11","1","9","3","11","1","1","7","1","98","75","58","83","83","50","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0"
"33","62","38","31","69","78","22","61","39","33","67","5","9","2","12","5","10","10","3","1","2","2","6","118","100","100","92","92","58","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0"
"35","30","70","21","79","90","10","83","17","20","80","3","9","3","9","7","12","9","2","2","2","6","3","106","92","83","75","75","67","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0"
"27","56","44","37","63","93","7","88","12","90","10","14","3","2","14","3","7","9","1","2","0","11","1","100","92","92","100","50","33","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0"
"29","54","46","10","90","80","20","90","10","95","5","12","4","2","12","5","8","10","1","2","1","10","0","99","83","75","83","67","50","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0"
